source,target,value
1,Hitler,6
1,Japanese,6
1,US,6
1,World,6
10,8,6
10,Allies,12
10,Japanese,6
10,Manchukuo,6
10,a,6
127.[182,1970,6
127.[182,Africa,6
"129,000–226,000",9,6
"129,000–226,000",two,6
13was,Apollo,6
13was,U.S.,6
14,Paris,6
14,Three,5
15,AugustEmperor,6
15,Moscow,6
15,Saint,6
15,thePotsdam,6
18,Incidentof,6
18,Japanese,6
19,Japan,6
19,the,6
1914,the,14
1914,thePanama,6
1917,EmpireandAustria,6
1917,Russia,6
1918,British,4
1918,between,5
1918,the,6
1918,theLeague,6
1918.[4,American,6
1918.[4,Germans,4
1922.[28]The,Germany,6
1922.[28]The,Mussoliniin,5
1924,Vladimir,6
1924,a,6
1929,Stalin,6
1929,theGreat,6
1933,Germany,12
1934,Manchukuo,6
1934,March,5
1937,Chinese,12
1938.[34]He,Germany,6
1938.[34]He,theSudetenland,6
1939,Chinese,6
1939,Japan,6
1939–1940,Hitler,6
1939–1940,the,6
1941,German,6
1941,Stalin,6
1942,1943,6
1942,Berlin,6
1942,Nazi,5
1942,a,6
1942,the,12
1943,Soviets,6
1944,German,6
1944,Hitler,5
1946,35,6
1946,African,6
1946.[177]InFrench,Indochina,6
1946.[177]InFrench,Pacific,6
1947,British,6
1947,Muslims,5
"1949,Yugoslavia",Albania,6
"1949,Yugoslavia",between,6
1950,1952,6
1950,The,6
1952,400,5
1952.[168]Oddly,last,6
1952.[168]Oddly,second,6
1953,Mutually,6
1953,The,6
"1955,[197]each",Two,5
"1955,[197]each",theNorth,6
1957,Soviet,6
1957,theSoviet,6
1968,British,6
1968,World,6
1968,almost,6
1968,theNuclear,6
1970,the,6
1976,Africa,6
1976,Between,5
1980s,architecture.[246][247]Microsoft,6
1980s,theInformation,6
1990,Berlin,6
1990,Japan,5
2,inTokyo,6
2,the,6
"2,698",German,6
"2,698",Germany,6
20,Apollo,6
20,German,6
20,Germany,5
20,Moon,6
"20,000",Japan,6
"20,000",Marines,6
20th,the,6
20th,theSecond,6
21,Vietnam,6
21,theFrench,6
22,Stalin,6
22,USSR,5
24,San,6
24,the,6
25,August.[86]In,6
25,Joseph,6
25,Paris,6
25,South,6
25,Soviets,6
25,United,6
26,Allies,6
26,thePotsdam,6
27,Japan,12
28,Allied,6
28,Germans,6
29of,the,10
3,Army,6
3,German,6
30,South,5
30,Vietnam,6
30,mistressEva,6
30,theChancellerygarden,5
"300,000",Around,6
"300,000",Iwo,5
35,the,6
4,Germans,6
4,Rome,6
400,Japan,6
6,Germans,6
6,The,5
6,first,5
6,the,18
"6,800",Marines,6
"6,800",the,6
600,Belgian,6
600,Belgians,6
6th,Army,11
6th,German,5
6th,Germans,6
6th,Hitler,6
6th,Stalingrad,5
7,Americans,5
7,Chinese,6
7,Europe,6
7,Germans,6
7,Germany,6
7,Harborin,6
7,Japan,6
7,Manchuria,6
7000,France,6
7000,Nazis,6
8,Italians,11
8,invadingMoroccoandAlgeriaon,6
9,Axis,5
9,Italy,6
9,Japanese,6
9,Norway,11
9,Soviet,5
9,the,6
Africa,Asia,12
Africa,British,6
Africa,Germans,6
Africa,KenyattaofKenyaandKwame,6
Africa,decades,6
Africa,invadingMoroccoandAlgeriaon,6
Africa,the,6
African,Cabraland,6
African,almost,6
African,the,6
Air,Dunkirk,6
Air,Germans,5
Air,only,6
Air,theLuftwaffe,6
Alameinin,North,6
Alameinin,first,6
Albania,Bulgaria,6
Ali,Muslims,6
Ali,achieveIndian,6
Allied,Allies,6
Allied,American,6
Allied,August,6
Allied,Douglas,6
Allied,Europe,6
Allied,France,6
Allied,Franklin,6
Allied,German,17
Allied,Germans,18
Allied,Germany,6
Allied,Guinea,6
Allied,Holocaust,6
Allied,Italians,5
Allied,Italy,12
Allied,Japanese,18
Allied,May,5
Allied,Soviet,6
Allied,World,6
Allied,at,6
Allied,miles.[148]A,6
Allied,theBattle,6
Allied,three,6
Allied,two,12
Allies,Calais,6
Allies,France,6
Allies,Germans,18
Allies,Germany,12
Allies,Italy,6
Allies,Japan,6
Allies,Japanese,6
Allies,Nazi,6
Allies,Normandy,6
Allies,World,6
Allies,first,12
Allies,newBoeing,6
Allies,one,6
Allies,the,12
Allies,theJapanese,6
Allies,underBenito,6
Allies,useKadena,6
AlthoughAdolf,includingHermann,6
AlthoughAdolf,theNuremberg,5
America,Britain,6
America,German,6
American,Australian,6
American,D.,6
American,Japan,6
American,Japanese,12
American,Nixon,5
American,OffensiveandMy,5
American,Okinawa,6
American,PresidentRichard,6
American,South,18
American,Soviet,6
American,ThisNixon,6
American,Tokyo,6
American,Truman,6
American,early,6
American,later,6
American,million,6
American,second,6
American,the,6
American,theU.S.,6
AmericanSpace,first,6
AmericanSpace,later,5
Americans,German,5
Americans,Japanese,6
Americans,OffensiveandMy,5
Americans,Truman,6
Americans,early,6
Angola,Cape,6
Angola,MozambiqueandSão,6
Army,Saint,6
Around,Japanese,5
Asia,European,6
Asia,India,5
Asia,The,6
Asia,thePeople's,6
Atlantic,Germans,6
Atlantic,Hitler,5
Atlantic,Marshal,6
Atlantic,about,6
Atlantictook,fallen.[79,6
Atlantictook,from,6
August,Japan,5
August,first,6
August,two,6
August.[86]In,Soviets,6
AugustEmperor,the,6
Auschwitz,Macht,6
Auschwitz,Nazis,6
Australia,Canada,6
Australia,Great,6
Australian,Darwin,6
Australian,Japan,6
Australian,early,6
Australian,first,6
Australian,the,6
Austria,Germany,6
Austria,Jews,6
Austria,theAnschluss,12
Austro-Hungarian,Europe,5
Austro-Hungarian,theLeague,6
Axis,Italy,6
BIOS,releasedPC,6
BIOS,third,5
Baltic,Latvia,6
Baltic,Stalin,6
Battle,Britain,6
Battle,Sea,6
Belgian,Emael,6
Belgians,KingLeopold,5
Belgiumsurrendered,Germans,6
Belgiumsurrendered,KingLeopold,6
Belgrade,Bucharest,6
Belgrade,Budapest,6
Berlin,D.,6
Berlin,Eastern,6
Berlin,Germans,5
Berlin,Germany,6
Berlin,Hitler,5
Berlin,Nazis,6
Berlin,Prague,6
Berlin,Soviet,6
Berlin,Soviets,6
Berlin,Warsaw,6
Berlin,four,12
Berlin,the,10
Between,almost,6
Bolshevik,Russia,5
Bolshevik,theBaltic,6
Boris,Communist,5
Boris,Russia,6
BorneoandChina,Japanese,5
BorneoandChina,inBurma,6
Brest-Litovskwith,Russia,6
Brest-Litovskwith,Tsar,5
Britain,British,5
Britain,Czechoslovakia,6
Britain,Eastern,5
Britain,European,6
Britain,France,18
Britain,Poland,5
Britain,Secondly,4
Britain,first,6
Britain,"history"".[80]The",6
Britain,the,6
Britain,theBattle,6
Britain,theSoviet,6
British,Egypt,11
British,French,12
British,German,12
British,Germans,12
British,Hitler,16
British,India,6
British,Italian,6
British,Italians,6
British,Japan,6
British,KenyattaofKenyaandKwame,6
British,Luftwaffe,6
British,RAF,6
British,Singapore,6
British,a,6
British,almost,6
British,first,6
British,generalErwin,6
British,theBattle,6
British,theMunich,5
Bucharest,Sofia,6
Budapest,Vienna,6
Bulgaria,Poland,6
Burma,Japan,6
Burma,New,6
Cabraland,Portuguese,6
Calais,Germany,5
Canada,the,6
Cape,Portuguese,6
Castro,Cuba,6
Castro,theSoviet,6
Caucacus,the,10
Central,Continent,5
Central,German,12
Central,Warsaw,5
China,France,6
China,India,6
China,Japan,6
China,Manchuria,6
China,North,6
China,the,6
Chinathe,Chinese,6
Chinathe,Japanesepuppet,6
Chinese,EmperorPu,6
Chinese,Japanese,6
Chinese,Manchukuo,6
Chinese,Northern,5
Chinese,U.N.,6
Chinese,theSecond,6
Chinese,theSouth,6
Churchill,Germany,6
Churchill,USSR,6
Churchill,Western,6
Churchill,theWehrmachthad,6
Collegein,US,6
Collegein,Winston,6
Communist,Gorbachev,6
Communist,Vietnam,6
Communist,a,6
Continent,theAdriatican,6
Crisis,the,6
Crisis,theYoung,5
Crystal,Germans,5
Crystal,Jews,6
Cuba,WhenLockheed,5
Cuba,the,6
Cuba,theCold,5
CubaandVietnam.[194,North,6
CubaandVietnam.[194,Soviet,6
Czech,Eastern,5
Czech,Hitler,17
Czechoslovakia,Europe,5
Czechoslovakia,HungaryandEast,6
Czechoslovakia,Romania,6
Darwin,first,6
December,Germans,6
December,Russia,6
December,U,6
December,the,6
Democratic,millions,2
Democratic,state.[27]These,6
Denmark,Hitler,6
Denmark,Norway,6
Denmark,a,6
Denmark,six,6
Doenitz,Germans,6
Doenitz,another,6
Douglas,Philippines,6
Douglas,inTokyo,5
Douglas,ofUnited,6
Dunkirk,Hitler,6
Dunkirk,a,6
Dunkirk,first,6
East,Poland,6
East,Soviet,6
Eastern,GeneralFrancisco,6
Eastern,Germany,6
Eastern,Soviet,6
Eastern,Stalin,6
Eastern,andLithuania,6
Emael,Franco,6
EmperorPu,Japan,6
EmpireandAustria,theCentral,6
ErzherzogFranz,November,5
ErzherzogFranz,byGavrilo,6
Europe,European,6
Europe,Imperial,6
Europe,Jews,5
Europe,Nazi,6
Europe,North,6
Europe,Russia,6
